            ADANIENT  ADANIPORTS  APOLLOHOSP  ASIANPAINT  AXISBANK  BAJAJ-AUTO  BAJAJFINSV  BAJFINANCE  BHARTIARTL      BPCL  BRITANNIA     CIPLA  COALINDIA  DIVISLAB   DRREDDY  EICHERMOT    GRASIM   HCLTECH      HDFC  HDFCBANK  HDFCLIFE  HEROMOTOCO  HINDALCO  HINDUNILVR  ICICIBANK  INDUSINDBK      INFY       ITC  JSWSTEEL  KOTAKBANK        LT       M&M    MARUTI  NESTLEIND      NTPC      ONGC  POWERGRID  RELIANCE   SBILIFE      SBIN  SUNPHARMA  TATACONSUM  TATAMOTORS  TATASTEEL       TCS     TECHM     TITAN  ULTRACEMCO       UPL     WIPRO
LT          0.812949  0.802588    0.893127    0.823051    0.912056  0.750202   -0.004157    0.840550    0.898021   -0.253673  0.663679   0.749885  0.820904   0.413969  0.158636 -0.517464   0.916110  0.790423  0.822329  0.873399 -0.037019  0.006604    0.848743  0.672984    0.977547   0.799699    0.735311  0.841229  0.870830  0.749648   1.000000  0.883861  0.852446  0.800090   0.925300  0.903287  0.780007   0.732119  0.885777  0.967316  0.934115   0.830256    0.919773   -0.032714   0.772170  0.651627  0.946498  0.883366    0.816557  0.510143
M&M         0.881178  0.751563    0.757285    0.729346    0.805768  0.724756   -0.206473    0.714509    0.846020   -0.447948  0.749629   0.810503  0.850053   0.271684  0.220035 -0.540243   0.804940  0.659176  0.639849  0.774064 -0.101549  0.211763    0.682899  0.710994    0.912535   0.711497    0.608372  0.886771  0.770432  0.646812   0.883861  1.000000  0.930762  0.744987   0.914889  0.733702  0.790196   0.786341  0.836480  0.880678  0.915640   0.781042    0.818286   -0.277187   0.641720  0.403460  0.860459  0.713847    0.703390  0.294225
MARUTI      0.811073  0.720642    0.744386    0.756280    0.794169  0.725556   -0.083662    0.750912    0.790998   -0.391026  0.665576   0.785037  0.784408   0.321093  0.226702 -0.566656   0.783984  0.681889  0.627544  0.754195 -0.065844  0.290896    0.695214  0.579288    0.879437   0.719676    0.641668  0.792544  0.732002  0.696429   0.852446  0.930762  1.000000  0.686927   0.862495  0.755845  0.769185   0.801382  0.836656  0.848937  0.866982   0.768059    0.822502   -0.182529   0.672201  0.478484  0.860827  0.679069    0.699187  0.341890
NESTLEIND   0.686059  0.608407    0.731534    0.719153    0.634049  0.568510   -0.112931    0.643508    0.790229   -0.348795  0.713716   0.671301  0.702361   0.358931  0.278814 -0.402071   0.712649  0.640927  0.639630  0.681435 -0.063557 -0.030785    0.602422  0.757098    0.792140   0.504169    0.524003  0.763586  0.673017  0.618942   0.800090  0.744987  0.686927  1.000000   0.773586  0.649564  0.538473   0.623552  0.732674  0.735326  0.789733   0.694758    0.695328   -0.180023   0.592990  0.464497  0.799032  0.710600    0.569532  0.361001
NTPC        0.860753  0.723430    0.778608    0.714116    0.815181  0.633741   -0.155547    0.714738    0.926188   -0.464758  0.660831   0.707462  0.941712   0.216269 -0.002576 -0.390014   0.808973  0.624758  0.619910  0.708402 -0.269929 -0.094833    0.727861  0.669036    0.933788   0.708371    0.579231  0.913730  0.764515  0.611815   0.925300  0.914889  0.862495  0.773586   1.000000  0.859243  0.761807   0.731044  0.861219  0.921912  0.929928   0.741143    0.836475   -0.221687   0.612011  0.446277  0.906643  0.712267    0.730117  0.281070
ONGC        0.729804  0.797589    0.879585    0.808209    0.786850  0.675767    0.244290    0.831985    0.868620   -0.220894  0.445620   0.697218  0.715605   0.497193  0.076775 -0.472978   0.887424  0.785121  0.711382  0.753584 -0.040000 -0.086419    0.896170  0.469833    0.890268   0.670232    0.780205  0.673267  0.834795  0.696257   0.903287  0.733702  0.755845  0.649564   0.859243  1.000000  0.754012   0.772070  0.846508  0.918455  0.876431   0.814622    0.939419    0.222402   0.810043  0.743380  0.910403  0.820415    0.824371  0.608849
POWERGRID   0.697031  0.777991    0.678643    0.675653    0.776538  0.789419   -0.009778    0.671450    0.675000   -0.183783  0.479304   0.684550  0.672851   0.296596  0.249491 -0.508191   0.778889  0.602177  0.630603  0.749213  0.016262  0.170910    0.683303  0.481838    0.799146   0.692253    0.589821  0.708373  0.746820  0.682882   0.780007  0.790196  0.769185  0.538473   0.761807  0.754012  1.000000   0.680638  0.660595  0.804626  0.745470   0.700683    0.812993   -0.020317   0.643972  0.436817  0.754850  0.679985    0.722460  0.369179
RELIANCE    0.779705  0.816585    0.833778    0.827536    0.620708  0.664520    0.222337    0.789959    0.761893   -0.289072  0.565972   0.897505  0.561354   0.623779  0.437551 -0.696231   0.827700  0.836542  0.560178  0.705018  0.133161  0.328968    0.814583  0.493978    0.779538   0.519426    0.817724  0.557883  0.799471  0.640369   0.732119  0.786341  0.801382  0.623552   0.731044  0.772070  0.680638   1.000000  0.807594  0.780253  0.860317   0.893963    0.828654    0.179011   0.831482  0.675436  0.838419  0.730332    0.783233  0.618983
SBILIFE     0.871082  0.837347    0.888971    0.873581    0.795970  0.663432    0.220840    0.901997    0.872202   -0.216842  0.558292   0.811497  0.762863   0.533521  0.140824 -0.454633   0.882696  0.768908  0.718757  0.753730  0.085850  0.084132    0.843797  0.710881    0.916510   0.747088    0.791144  0.681758  0.837592  0.722994   0.885777  0.836480  0.836656  0.732674   0.861219  0.846508  0.660595   0.807594  1.000000  0.915238  0.900832   0.874526    0.868056    0.072811   0.780887  0.699779  0.910043  0.814240    0.850643  0.588659
SBIN        0.887088  0.883362    0.904238    0.865364    0.911156  0.746190    0.082049    0.882545    0.895686   -0.240844  0.559297   0.796625  0.819990   0.477273  0.125995 -0.545314   0.945478  0.777989  0.790456  0.848916 -0.012081  0.017936    0.885574  0.675664    0.985726   0.812854    0.779439  0.778619  0.904765  0.760372   0.967316  0.880678  0.848937  0.735326   0.921912  0.918455  0.804626   0.780253  0.915238  1.000000  0.938277   0.871792    0.938225    0.044601   0.793174  0.662117  0.950575  0.871727    0.871375  0.550510
